Counterparty,Entity,Protection,Fixed Rate,Date,Amount,CIK,Reporting Type,Report Year
"

    Citigroup
","

    Constellation
    Energy Group, Inc.
",Buy,0.240%,06/20/2012,1000,0000820892,N-CSR,07
"

    Citigroup
","

    Lennar Corporation
",Buy,1.050%,09/20/2012,900,0000820892,N-CSR,07
"

    Citigroup
","

    Ryland Group
",Buy,1.250%,09/20/2012,900,0000820892,N-CSR,07
"

    Deutsche Bank
","

    Dow Jones CDX XO8 Index
",Buy,1.400%,06/20/2012,4000,0000820892,N-CSR,07
"

    Deutsche Bank
","

    Dow Jones CDX HVOL8 Index
",Buy,0.750%,06/20/2012,4300,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Centurytel, Inc.
",Buy,0.540%,09/20/2012,1515,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Dow Jones CDX HVOL8 Index
",Buy,0.750%,06/20/2012,10750,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Dow Jones CDX HY8 Index
",Buy,2.750%,06/20/2012,1700,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Dow Jones CDX
    IG7 Index
",Sell,0.250%,12/20/2009,25000,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Dow Jones CDX XO8 Index
",Buy,1.400%,06/20/2012,1900,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Honeywell International
",Buy,0.410%,09/20/2017,1600,0000820892,N-CSR,07
"

    J.P. Morgan
","

    Sara Lee Corporation
",Buy,0.500%,06/12/2012,1330,0000820892,N-CSR,07
"

    UBS
","

    Amerisourcebergen Corporation
",Buy,0.585%,09/20/2012,1000,0000820892,N-CSR,07
"

    UBS
","

    Cardinal Health, Inc.
",Buy,0.320%,09/20/2012,1000,0000820892,N-CSR,07
"

    UBS
","

    Constellation
    Energy Group, Inc.
",Buy,0.230%,06/20/2012,1000,0000820892,N-CSR,07
"

    UBS
","

    Dow Jones CDX HVOL8 Index
",Buy,0.750%,06/20/2012,2350,0000820892,N-CSR,07
"

    UBS
","

    Dow Jones CDX HY8 Index
",Buy,2.750%,06/20/2012,1800,0000820892,N-CSR,07
"

    UBS
","

    Dow Jones CDX XO8 Index
",Buy,1.400%,06/20/2012,2000,0000820892,N-CSR,07
"

    UBS
","

    McKesson Corporation
",Buy,0.385%,09/20/2012,1000,0000820892,N-CSR,07
"

    UBS
","

    Whirlpool Corporation
",Buy,0.785%,09/20/2017,1000,0000820892,N-CSR,07
